year,area_km2,previous_area_km2,relative_change,z_score,snow_fraction,cloud_fraction,status,reason
2016,443.43,,,0.0,0.016338535414165665,0.004675870348139256,baseline,no previous comparable year
2017,324.93,443.43,0.26723496380488465,0.46182659348031063,0.007287585045093678,0.00031644686019563864,suspicious,annual area change 26.7% exceeds 15%
2018,859.19,324.93,1.6442310651524943,7.259234806233388,0.2467634001284402,0.30370522044246717,reject,annual area change 164.4% exceeds automatic 30% rejection threshold
2019,532.61,859.19,0.3801021892712904,1.0189847470765105,0.04306122448979592,0.018547418967587034,reject,annual area change 38.0% exceeds automatic 30% rejection threshold
2020,449.55,532.61,0.15594900583916937,-0.08752578587641681,0.007244897959183674,0.004687875150060024,suspicious,annual area change 15.6% exceeds 15%
2021,382.25,449.55,0.14970526081637195,-0.11834742992810574,0.0036554621848739494,0.0033613445378151263,review,annual area change 15.0% requires review
2022,396.41,382.25,0.03704381948986272,-0.67448975,0.0022869147659063623,0.002575030012004802,normal,annual area change 3.7% is within 5%
2023,383.81,396.41,0.03178527282359179,-0.7004480575518324,0.003871548619447779,0.00843937575030012,normal,annual area change 3.2% is within 5%
2024,450.47,383.81,0.17367968526093647,0.0,0.02021608643457383,0.02765906362545018,suspicious,annual area change 17.4% exceeds 15%
