model,f1,iou,precision,recall
NDSI (threshold=0.5),0.8513,0.7412,0.9050,0.8037
Random Forest (200 trees),0.8525,0.7429,0.8520,0.8529
U-Net (Baseline),0.8763,0.7798,0.9554,0.8093
U-Net (Attention),0.8757,0.7789,0.8969,0.8555
U-Net++,0.8532,0.7439,0.8691,0.8378
