year,band,min,p02,median,mean,p98,max,source_dtype,display_height,display_width
2020,B2,0.0,0.0,601.0,1259.0938720703125,8830.0,10000.0,uint16,624,1024
2020,B3,0.0,0.0,881.0,1466.39599609375,8917.0,10000.0,uint16,624,1024
2020,B4,0.0,0.0,1045.0,1577.994140625,8927.0,10000.0,uint16,624,1024
2020,B8,0.0,0.0,2164.0,2256.65673828125,8425.0,10000.0,uint16,624,1024
2020,B8A,0.0,0.0,2231.0,2288.933837890625,8181.0,9996.0,uint16,624,1024
2020,B11,0.0,0.0,2079.0,1798.83935546875,3427.0,9017.0,uint16,624,1024
2020,B12,0.0,0.0,1603.0,1415.7197265625,2901.0,8891.0,uint16,624,1024
